#ID1,ID2,COST
0,7,0.4880750423380665
0,10,0.3186561111272046
0,13,0.5380967368357775
0,21,0.40243566194861713
1,2,0.46006699247826915
1,14,0.20390984393751072
1,16,0.3133630114675031
1,18,0.5261387953067314
2,5,0.38168652642990986
2,14,0.2591445396599976
2,16,0.34907278215891274
2,18,0.08155573186781305
3,4,0.3174302594617475
3,7,0.05972698836425281
3,8,0.11918789178739213
3,19,0.08185983599318916
4,3,0.3174302594617475
4,7,0.3616190272002861
4,8,0.20847376528557718
4,19,0.2606066194390123
5,6,0.010888673417570983
5,9,0.15180773103131917
5,12,0.2850326338061895
5,13,0.22836876631006994
6,5,0.010888673417570983
6,9,0.14557069736821507
6,12,0.28552806349073845
6,13,0.21939078574238666
7,3,0.05972698836425281
7,4,0.3616190272002861
7,8,0.1746200818807323
7,19,0.14143677589535594
8,3,0.11918789178739213
8,4,0.20847376528557718
8,7,0.1746200818807323
8,19,0.05228573819420509
9,5,0.15180773103131917
9,6,0.14557069736821507
9,13,0.0995430152733561
9,15,0.1852110135975993
10,0,0.3186561111272046
10,9,0.30904186651082943
10,13,0.22324986136276606
10,21,0.10982760911801885
11,12,0.23416583144578698
11,15,0.2440480900368029
11,17,0.24627108155620195
11,20,0.2186314971990327
12,9,0.1903845867550842
12,15,0.042750901901327125
12,17,0.10641523246253912
12,20,0.018540687598714592
13,6,0.21939078574238666
13,9,0.0995430152733561
13,10,0.22324986136276606
13,21,0.1433274999812285
14,1,0.20390984393751072
14,2,0.2591445396599976
14,16,0.21153054944508853
14,18,0.32238858956754474
15,9,0.1852110135975993
15,12,0.042750901901327125
15,17,0.06595230806885878
15,20,0.05651149540379227
16,1,0.3133630114675031
16,2,0.34907278215891274
16,14,0.21153054944508853
16,18,0.3698119192247935
17,9,0.22016314688471939
17,12,0.10641523246253912
17,15,0.06595230806885878
17,20,0.1156095758957695
18,2,0.08155573186781305
18,5,0.3016719887687259
18,6,0.3123225800785521
18,14,0.32238858956754474
19,3,0.08185983599318916
19,4,0.2606066194390123
19,7,0.14143677589535594
19,8,0.05228573819420509
20,9,0.2071084990742928
20,12,0.018540687598714592
20,15,0.05651149540379227
20,17,0.1156095758957695
21,6,0.33683583061700845
21,9,0.24155625979389053
21,10,0.10982760911801885
21,13,0.1433274999812285
