#ID1,ID2,COST
2,1,0.23961585277316846
3,2,0.19083750718696424
4,2,0.5965302056730475
5,4,0.4296743671781927
6,4,0.6920372460742537
7,6,0.24478574189716806
8,5,0.02492626771985917
9,7,0.16751222117217238
10,4,0.17823039896068926
11,2,0.2827167365566395
12,4,0.17790404232220589
13,4,0.4052760552002545
14,3,0.07040759383559202
15,12,0.06955337722585585
16,15,0.08877726030963833
17,10,0.1036993422862923
18,11,0.03926675341770895
19,16,0.12100226885931528
20,6,0.26293376079863556
21,13,0.23953051890607668
